P_Id,Question,A1,A2,A3,A4,A5,A6,A7,A8,A1ID,A2ID,A3ID,A4ID,A5ID,A6ID,A7ID,A8ID,C1,C2,C3,C4,C5,C6,C7,C8,Category
4221,"An incident comes in for a bad SFP, one of the first troubleshooting steps you should take is:",Blow in the SFP see if that clears the dust,Swap the fiber cable ,Swap the SFP,Use the LC fiber cleaner to clean the SFP and fiber,,,,,QD1f8eOIEq,7uc6f6wHCo,rBSKFW9QqN,Xi6tBhr8ak,GquODEZB0M,QXVXVoVqJk,f8s2DXzSD8,NyGsRbhdhb,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4222,When should I notify a shift supervisor to a customer impacting incident?,15 minutes,Immediately,30 minutes,When I resolve the issue,,,,,JkFm2AnSm0,n9plh6ih8f,KSd4Z9X0kD,0G08eJlnKS,CZqtKLH0Ti,NdOpI1hMw3,MnHSaQ0rgI,U6GoNVCUso,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4223,"You find the following label on an outlet PDUA3-3D CKT 25,26.  Based off that label we can determine the device or devices connected to it are on UPS:",UPS D,UPS 3,Cannot determine based off the label,UPS A,,,,,6dIk5GNnRI,4XuEYWpbgx,X3oFgLA7zv,dXZCASvuiL,f3xEA4S4E8,Feik5cZdes,gRXwFg82df,A54Es6ETen,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Policy
4224,MTTR is:,Mean Time to Restoration,Mean Time to Repair,Must take the responsibility,Measurable Time to Reboot,,,,,Q77BspFEfz,To2t4fzLK0,nfq6ZyO5Vf,OyrDCFdcJ4,6iPWo5dYjV,9iGrtLQbL4,LLTaVu7y2y,cxbQeezEQ6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Facilities
4225,What is the default IP address used to check the Cirrascale BMC?,192.168.0.110,192.168.1.110,192.168.0.100,192.168.1.100,192.168.0.120,192.168.1.120,,,DGRLbYSV4F,HE3kLyib32,qzx78Yv2Oc,8zhtjZvbCB,UjpVqWr6V8,5ZwoudiVOn,D1g2HixIaV,chJAggkMPk,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Hardware
4226,"On a Cirrascale system with a bad PSU, an amber light will show on:",all sleds,the first sled only,the enclosure,the last sled only,,,,,tntsC0KIjL,iw1mr5S9DH,XjycMf9ILP,nhiiD3uGLA,4ZiDFFFXSS,gHluqjZrPw,ab8ExaoRTy,KmwdN8b6Gg,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4227,2TB HGST SSD Drives can be sent off site to be RMA'd,TRUE,FALSE,,,,,,,6KRxjmKnmR,NmDboAhSQh,5iTZO22ujd,gWeCAysIEw,0uUwGB5sLT,lnYCiW22Ss,uqejK1haKZ,iIntiJxwtn,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4228,What is the maximum current that should be on a 30A PDU breaker if one of the rack RDU's has failed?,30 A,14 A,20 A,22 A,24 A,26 A,28 A,None of the Above,I4R8iPOFxX,wamPKMTZbB,y27y9Gi1DQ,quukgDBRL3,heXO0XS2MO,vMzR4R7t0L,HYcRHbPcIg,kcoitterzl,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Facilities
4229,Name the tool in PXE image for inventory,SMDB,Stateless,Cobbler,Spacewalk,,,,,mb9ui18uvu,7hGZMkCnet,FZl7HJqXgN,BCoK5ZyU84,B03BTwhFCR,MOTLVxZbWI,JknS4E465W,WSpl2F7Unk,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4230,Which of the following are current standard SKU's? (Select all that Apply),SKU-C,SKU-X,SKU-I,SKU-H,,,,,67Q9EQMRZD,EUaAB0H498,PqIdLe6uKH,BMFR1tNhn2,xpr1T79PqJ,EMHemPyMwz,Urhrb2ptKh,vzQhJA9RuP,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Policy
4231,What is the expected speed rating for twin-ax in the GoDaddy environment?,1G,10G,100G,10/100Mbps,,,,,6Nf42iHHmH,wz3Sxjnr0i,G2sF9xEonH,mvTNZSBTDZ,2M5oLcVAiK,D3PwVevK6D,NsuOvaPp4O,SDXjr48d47,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4232,What is the Primary PDU color on Raritan iPDU's?,Orange,Black,Green,Red,,,,,zBQCMzjYnH,dqnj1tWJIm,kWVzjfrpUn,yq8Nu5AMag,FFw2GHZngW,w0nGaMQrsG,i4e0iXsJY6,3jJCQOA43M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4233,Power Usage Effectiveness (PUE) is a measure of what?,How efficient servers are at using electricity,How efficiently a data center uses electricity for compute vs cooling and other overhead,A measure of how efficient a power supply is,A process measuring how efficient applications are,,,,,9HN7D7WYDL,wsVJKNQZZv,S4H10ru3C1,Ag0iGESKXH,TBnG0ldcqh,VDKQyeaX8m,M5vNlptNdg,6gcsLrQb2X,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Facilities
4234,"In next-gen network, the layer-2 network boundaries are:",Switch-Level,Rack-Level,Spine-Level,Datacenter-Level,,,,,RtcsvM5TjI,VOrDmuxhwH,SUGvoZVTIY,5cvpS8Ytdz,nN1FrQl3M3,yBS3P7WRdF,1kkuOStbUp,Fdd8uf5aeI,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4235,You perform a chassis swap on a Linux server and after booting up find that the server is not responding to Ping. What is the most likely solution?,The ping service on the server is not started.,You need to perform a rebuild of the server.,Perform a yum update -y to update the server to the new hardware.,The /etc/udev/rules.d/70-persistent-net.rules file needs to be removed and restarted.,,,,,55O3WQdsaK,tSDs4wX5TO,aRzxnx1JKU,jyEsWAKpeZ,agkdclYHDk,D3L0emErPy,ZDRqA5nkFC,WH14N4Hwub,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4236,How do you restart OMSA on Linux?,Sradmin-service.sh restart,Srvadmin-services.sh restart,Serveradmin-services restart now,Srvadmin-service.sh restart now,,,,,jbqYcwK4sf,Is5bPTQKus,FOzyRn7pF3,IOZSFo4yIe,FoHwwwxv9S,6cRv7FM3hZ,AuyAG4ClFB,ZrcpWqgdbu,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4237,How do you restart OMSA on Windows?,Net stop dcstor32 then net start dcstor32,Net stop dcstor64 then net start dcstor64,Net stop dcstor then net start dcstor,Net stop dcstore then net start dcstore,,,,,3VP6tWpjPE,Cy3cyNoWJx,joD6ofyXfM,1Itnn5IV0M,GaKM48NXM6,x6THjNsUQo,yCdcN5ePZE,fDX72jO1cq,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4238,Select the correct definition for RAID5,Block-level striping with double distributed parity ,Byte-level striping with dedicated parity ,Block-level striping with dedicated parity ,Mirrored pairs with striping ,Mirroring without parity or striping ,Block-level striping with distributed parity ,Block-level striping without parity or mirroring ,,YfMB7Qrhtv,dIWd1uSJxg,EYv1k1DrTx,JcMLU6RFmV,h3VSG6kyVq,W1zFFaTVrg,nax6Vb7ks6,NnxL9MdNuo,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware
4239,Select the correct definition for RAID6: ,Block-level striping with double distributed parity ,Byte-level striping with dedicated parity ,Block-level striping with dedicated parity ,Mirrored pairs with striping ,Mirroring without parity or striping ,Block-level striping with distributed parity ,Block-level striping without parity or mirroring ,,DKVLZTQez0,WzRJfAPQXy,gnKQg3aqrB,zzZ8R5p8hZ,qHtSnfnArD,Yvq9Dp0fF8,SzW8KwJU2l,lRI9hJ43Cb,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4240,Select the correct definition for RAID10: ,Block-level striping with double distributed parity ,Byte-level striping with dedicated parity ,Block-level striping with dedicated parity ,Mirrored pairs with striping ,Mirroring without parity or striping ,Block-level striping with distributed parity ,Block-level striping without parity or mirroring ,,iVbRUu3BSS,jj8cda2XRE,HTLayjc4TR,ICYXiOH7RN,9UXUwH1sPQ,oeDpvzkbsL,s9RbjQvj4y,D6geGW62N2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hardware
4241,What does the acronym PKI stand for?,Public Key Infrastructure,Personal Key Internet,Private Key Infrastructure,,,,,,zwQ5t9gpSS,B0xO0mHEbc,FvZPpoM99S,VvXhrhoDek,4EZXjM1wDf,as6l3eGaPe,wiqa8glpx2,9dA1ibFcGM,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4242,What does the acronym SBE stand for?,Secure Back End,Server Bastion Environment,Server Bastion Entrance,Server Back End,,,,,u6NMmP7mCR,fn7qt6kiDI,nwqzGyxlkU,b2sjr9PqYB,wW5HpwkvCl,mk1KP9PogX,sVcRPn5W9v,q5uclACSkk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4243,Which of the following network environments are present in locked cages?,"PCI, SBE, PKI","PKI, CWB, SBE","GFN, CWB, SBE","ENT, PKI, GFN",,,,,6sQrfYhe4k,QGWGQt84pK,Huse2l0eah,GWSmBBPBRI,VJXi9g5qIC,4oN3bLaMz4,ZcdWO4XJfp,NFmQZ8HjfU,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4244,Which of the following are the two correct ways to configure a DSR?,"DSView, KMM","SSH, DSView","Serial Port, KMM","SSH, KMM",,,,,WKwV7rOlhc,WzuFtrRZyp,Nzts1iVFJD,gAmv48vLpt,zSAmZoq2Vw,aaKfHxrd5Y,GjMO6wm0Lw,6gJfZ59hCM,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4245,What is a red CAT6 cable used for in the Go Daddy data centers? ,Heartbeat Cable between SQL servers ,Console Cable for switches from terminal servers ,Alternate colored patch cable to denote special use ,,,,,,zrDZCrZLdC,lo9EnCFk9s,cEGhBm6adY,qE3JGhGxcC,CV7BJ0vsEh,lU4G65Vvyp,wZHolRvz9f,6hiGZrIfHB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4246,If the Apply VLAN script does not properly switch over the linux network config settings what changes must be made manually to live IP the server? ,Delete ifcfg-bond0 and restart network services ,Replace ifcfg-bond0 with ifcfg-bond0:1 and restart network services ,Reboot the server to kick off the script ,,,,,,1CUihYXf21,VVmDXAr0hZ,uWZ0osQIbP,72YjJDfra8,sfDGDILltn,dYAm6eNU5Z,hpdm547c4u,v00jHotsFP,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4247,What is the name of the bootable PXE environment that can be used to test rDNS and switch configurations?,statelessdev ,stateless3 ,statelesstools ,,,,,,LtyinJWrju,A3vE4CLtNV,nTpHrW5IFm,Vja2rpkwxB,ejFVsnxcv1,BmXu93d21A,PnV7Jq2DnN,ro6lQenEpe,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4248,The single most common cause of outages and down time in a datacenter is:,Battery Failure,Generator Starting Failure,Computer Hardware Failure,Human Error,,,,,7LF5sobkNy,uj3ka7nr85,SMKrxTIWLs,QtfADhKhwf,KH3S80Hq8x,4D7xntbnHI,QoJvRbdBR3,wf52ulT2tx,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Facilities
4249,What is the main purpose of electrical grounding?,Noise Reduction,Life Safety,Lightning Protection,Static Dissipation,,,,,DHYP1Hr5DO,LyOv8bgiAe,tjR9R9h1p7,XlPOhNWLjK,PRoQzxwl31,PxWB7u1192,AAPH1AS0nu,oF9ZzL5bIt,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Facilities
4250,"What industry standard dimensions are the raised floor tiles used at P3, S2 and M1?",12 x 12,18 x 18,24 x 24,36 x 36,,,,,ep2q1UlgbM,CNM1jIKt5a,To6VNB0ZRr,9pB6hG1rPA,BovsNEfx5n,J6teF1ugMz,VvzTNnlRSM,RsNDIE3Mhj,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Facilities
4251,What is the maximum transmission distance of a Category 6 twisted pair network cable?,75m ,100m ,125m ,150m ,,,,,hNmxStLWe5,yTE7D3wD4Q,85lYOvzDYL,0dyZzxmJHW,40S3150Djn,rPXLomBySx,4i8C5vuOHf,QX6gW8lt9U,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4252,What is the name of the module used to control and configure a Dell M1000 blade chassis remotely?,CMC ,BMC ,DRAC ,ILO ,,,,,aP3BUT4p2h,6s1BvcZDfA,vsTqKoE2uA,3LYR3qjtVe,mt4ICxRsYY,ByAxpR6M1G,oc6BpuEjIe,3GSboczlXm,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4253,"If an automated step fails to execute in the SMDB build checklist, where can you check to get a failure code?",SMDB Notes,Automation Results Tab,Proteus ,1CP Dashboard,,,,,ugq98VQ1l5,1OHhspxOb8,Za87D5wEzK,GXUuwRMYDN,Wo2TI8uBho,PAT2WtitEd,zmBKyc5mUK,MJkylKjoyG,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4254,Which of the following is the correct naming scheme for a C-Series chassis in SMDB?,P3PC6100-01-22-18 ,P3PLC6220Chassis01-01-01 ,P3PC6220SG02-02-39 ,P3C6kC-SG03.01 ,,,,,hkJnOXF8Id,olyjo4h1h2,f9XKJ7OfGG,nhPqDvjDjt,V0kuMJ2QVF,61d0mjx9OR,izAb1hGhQ4,UNRYggYC80,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4255,Match the following subnet mask with its corresponding CIDR notation: 255.255.192.0,/30,/18,/16,/20,,,,,fWnuANDklg,xfFMWoy8nB,WAI8UPIfPf,mkFY8eXdnE,OMCuJv2uP3,hvd7UPopJU,fyFg5mKRPR,BvUSXk9nyz,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4256,Match the following subnet mask with its corresponding CIDR notation: 255.255.255.224,/25,/26,/27,/28,,,,,dtQReYvCAY,lpDtxXkmhb,Hif15NHNfG,FaHyOHc5yt,OrRrTYMhjY,F7Vc35n1XA,qRw4tlReO1,UqXXxpBYgg,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4257,What is the name of the interface in C-Series servers that services IPMI commands and iKVM?,iDRAC ,BMC ,DMZ ,Avocent ,,,,,J7BowURb4L,h8JCTFYSSd,sLJyypB3mf,xcAo1SnEx9,vewSJxnNRI,1F9xY9xd1h,tYZYoeHuMa,suuURnp1Za,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4258,What is the name of the controller that services IPMI commands and iKVM in R-Series chassis?,iDRAC ,BMC ,DMZ ,Avocent ,,,,,0O8JT0hTGW,dwVWI4Eri5,mZy6PexbMf,C2KRwdtYGv,ohev6NRs4b,d5pZCjqb4P,LggBtmVdAF,KQUXQfVd0b,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4259,What is the Windows executable used to open the Remote Desktop client?,explorer.exe ,termserv.exe ,mmc.exe ,mstsc.exe ,,,,,hAOXjPTU0W,Bw3DboglzR,nCs3HsJZej,ikcivSIJcb,KtSb6qNQ0D,14bsLPiVp2,g4PZNruUis,PGiyg5Uq8r,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4260,Which linux config file controls the IP and network settings of a bond? ,/etc/network/ifcfg-bond0 ,/etc/sysconfig/network-scripts/ifcfg-bond0 ,/etc/var/syslog/ifcfg-bond0 ,,,,,,8H8YXTarP6,EufenfBPHV,cCGiwp1bgm,1S4MxLNGWm,A0WHectSgJ,SN8p8EbYCI,30lDeVBDQM,C63uudP9et,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4261,Which linux config file controls the hostname and gateway settings of a server?,/etc/sysconfig/network ,/etc/sysconfig/network-scripts/ifcfg-bond0 ,/etc/var/syslog/ifcfg-bond0 ,/etc/network/hostname ,,,,,rfbQe94BwD,SbC1Hr6Ag1,CZgbYoajIa,prBIBK6MLH,ZHvX5cDlRJ,9J6YUB9a21,9U3vnAK4z8,wsYIa6DthW,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4262,Which linux config file controls the DNS settings of a server? ,/etc/sysconfig/network ,/etc/sysconfig/network-scripts/ifcfg-bond0 ,/etc/resolv.conf ,/etc/sysconfig/ns-resolv.conf ,,,,,V3mcJWVIza,USJl8R9nUS,aG4rwj2aUb,TubH0sIXjL,ieKiZESLJe,sHrgap05Qz,5UYxrAQcmP,ildiJ76UC3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4263,What is the Open Manage syntax at the command line to check all RAIDs on controller 0? ,Omreport adisk controller=0 ,Omreport storage pdisk controller=0 ,Omconfig storage vdisk controller=0 action=displayarray ,Omreport storage vdisk controller=0 ,,,,,0oB440ex6H,waBrJDtEA6,VHFJSwKpQE,qB8O2MbOo8,PPBQZlzwww,JPIfhCT3lH,yYQAq6cXz8,CPpCqfgYTG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4264,After inventorying a server with stateless the NIC information does not populate in the SMDB entry. What could be the issue?,Service tag is assigned to another server in SMDB ,Service tag is set to the wrong status in Server Inventory Editor ,Hostname is in On Hold status ,,,,,,2TvAvPWFcS,Ok7LY8Bjx1,iBO7mhm737,6FC4TQuQQl,zQr1HAyfVN,ScMtNzeznn,DZNfXjSd2h,MVClBCkYyW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4265,What status must a server be in to be used by the 1CP provisioning system? ,Awaiting 1CP Build,1CP Server Ready,Available ,1CP Available,,,,,3Z3wKBXojI,udI6PIW8wY,il2r1cOfeG,D6kqgNp138,l4Hx9lTggU,i30MQR8KGH,XSjNey3rZc,s6ezMpNEtP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Policy
4266,What is the maximum recommended load on an electrical circuit: ,60%,70%,75%,80%,,,,,8rRbb6agAJ,JWnObBqMq1,zxugnHeN4p,euOYbFYw46,UdycluTsMi,09FhjK7LXE,1xmkFoizMF,M4Tugv9s53,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Facilities
4267,Name of the technology that allows remote management of C6220 BMC,LoM,IPMI,DRAC,OMSA,,,,,PVrz5mg71y,X6BubdIY3K,gzsusU2Ntw,eVJ1ePFZyV,4eKJ1wlXpw,or0IbqC8gk,vDMEucwLqw,ISzhRbZTD7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4268,Humidity control is important in server rooms to:,Clean the air,Maximize energy efficiency,Reduce static,Lower the temperature,,,,,3IDEU9Ymcv,vBqXSEX6pQ,SoYb1thZ3D,BjhYHTRH8j,doL52wTGuQ,ZlT8vOUBOA,19tI4muBq9,Wq8fMDM4jE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Facilities
4269,What warranty coverage is required to RMA Dell hard disks?,NBD (Next business day),Enterprise plus,Software Assurance,Keep your Hard Drive,,,,,Lvx98GBM47,v0Ei5Ch4GZ,TORSGZwJaJ,tflLARUMCE,tPZx4Vf5bI,0Zbg78OOCi,k3MuMpY3Sm,SFBbFeZtYU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Policy
4270,What is the default local admin login name used for Windows VM builds?,Administrator,cactus,"There is no local admin, you login with your Jomax/DC1 account.",Root,,,,,7xwE9w05s8,nw4CSJLs6n,cUEJhZqRXv,RGjvc8cDPa,Q7Dda495Z3,knugvl4Wxj,gsh8pQnIAV,HhN6HfrAJn,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VM
4271,"When you retire a VM, what is the most important step?",The VM must be powered off.,The VM cannot be using Windows Server 2012 as an OS.,The VM cannot be using CentOS 6.0 as an OS.,There are no special considerations for retiring a VM.,,,,,y84CaPh2Vm,lytd7nZh8s,HSfBrojy1F,ASh3U51JpJ,QG0fKqVOlJ,EZJErQ3BkW,FTapWDqAtc,xp3yMbT02b,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VM
4272,"When building a Linux VM, the live IP is applied automatically when you flip to the live VLAN.",TRUE,FALSE,,,,,,,tAIyPn4bwY,y91ShkD1Yw,DI37rcr8ne,ge035GCXs0,TPbgoLQYfu,PinGNVHMgN,66XsSu99YK,SQHYMYGWSP,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VM
4273,"A VM will not start to build if the number of processors, RAM size and HDD size is not specified in its SMDB record.",TRUE,FALSE,,,,,,,FYE3jYaQ2S,AX4ZFfzEDZ,ekUCB0F7XP,C7vcb3LOgd,mmzknfJpJQ,tj8O9vebBk,se4mqDB2YN,EVyAM3UJpv,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VM
4274,How many points of ID should we be verifying before working on a device?,5,2,3,1,,,,,xf5zS00p3z,kUuTpJ2Lre,xoBKxIraR0,N1o2sLBd5r,BiSItQMFSo,tGZ1WjOtbj,R9I3WuGDBO,iYQaMoG3rQ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4275,What is the speed and transmission mode of Orange Fiber at GoDaddy?,1GB MM,10GB MM,1GB SM,10GB SM,,,,,05fwftsFua,8vZlVuJyH6,yeF8Rt3wQ7,jZ2gNroFxp,hXkQbpPN6Y,h4NMN5yhOV,B7Zx1iETHE,fearYL5Y7B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4276,What is the speed and transmission mode of Yellow Fiber at GoDaddy?,1GB MM,10GB MM,1GB SM,10GB SM,,,,,Kl8Zoj4uJy,ZEQYw0dqAv,Y8eM4U0MkV,sxvF5RvAyd,DocPUEgXdL,uT7WcNgu6E,jqjYgCil5O,OM3w3J5z3z,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Policy
4277,What is the speed and transmission mode of Aqua Fiber at GoDaddy?,1GB MM,10GB MM,1GB SM,10GB SM,,,,,93Gc0me3A1,BFUf9d6NjZ,p0lz7sX6ED,z8AVrkZKtu,0jWereD170,LliPs9RhgQ,yix8ADe9XX,nvuZ1gngi2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
